contest_value,contest_name,manual_year,updated_at
,"ISS Aracaju Auditor de Tributos Municipais: Geral",2020,
,"ISS Aracaju Auditor de Tributos Municipais: Tecnologia da Informa",2020,
,"ISS Araras FISCAL DE TRIBUTAÇÃO",2024,
,"ISS Belo Horizonte Agente Fazendário",2023,
,"ISS Belo Horizonte Auditor Fiscal de Tributos Municipais",2021,
,"ISS Betim Auditor Fiscal de Tributos Municipais",2019,
,"ISS Biguaçu FISCAL DE TRIBUTOS MUNICIPAIS II BIGUAÇU",2022,
,"ISS Blumenau Auditor Fiscal Tributário",2021,
,"ISS Campina Grande Fiscal de Tributos Municipais",2021,
,"ISS Campinas Agente Fiscal Tributário",2019,
,"ISS Campinas Auditor Fiscal Tribut",2019,
,"ISS Campo Grande Auditor Fiscal da Receita Municipal",2019,
,"ISS Campos dos Goytacazes Auditor Fiscal de Tributos Municipais",2023,
,"ISS Contagem Agente Fazendário",2019,
,"ISS Contagem Ana Fazendário",2019,
,"ISS Contagem Auditor Fiscal / Esp Fiscalização",2019,
,"ISS Corumba / AUDITOR FISCAL DA RECEITA MUNICIPAL",2024,
,"ISS Cotia Auditor Fiscal",2024,
,"ISS Criciúma Auditor Fiscal da Receita Municipal",2024,
,"ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL DIREITO/PROCESSO TRIBUTÁRIO",2024,
,"ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL GESTÃO TRIBUTÁRIA",2024,
,"ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL TECNOLOGIA DA INFORMAÇÃO",2024,
,"ISS Curitiba Auditor Fiscal de Tributos Municipais",2019,
,"ISS Diadema Agente Fiscal III / Fiscal de Tributos",2024,
,"ISS Divinopolis FISCAL DE RENDAS",2024,
,"ISS Dourados Auditor Fiscal de Tributos Municipais",2024,
