contest_name,contest_value,source_url,page_title,fetched_at,candidates_count,named_count,inside_vacancies_count
ISS Aracaju Auditor de Tributos Municipais: Geral,3_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=3_1&tV=0,Ranking dos Concursos,2026-04-20T15:12:43.677Z,135,106,12
ISS Aracaju Auditor de Tributos Municipais: Tecnologia da Informa,3_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=3_2&tV=0,Ranking dos Concursos,2026-04-20T15:12:45.845Z,47,31,4
ISS Araras FISCAL DE TRIBUTAÇÃO,636_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=636_1&tV=0,Ranking dos Concursos,2026-04-20T15:12:53.864Z,221,16,0
ISS Belo Horizonte Agente Fazendário,394_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=394_1&tV=0,Ranking dos Concursos,2026-04-20T15:13:06.185Z,343,7,14
ISS Belo Horizonte Auditor Fiscal de Tributos Municipais,80_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=80_1&tV=0,Ranking dos Concursos,2026-04-20T15:13:26.182Z,579,0,10
ISS Betim Auditor Fiscal de Tributos Municipais,53_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=53_1&tV=0,Ranking dos Concursos,2026-04-20T15:13:30.801Z,84,0,5
ISS Biguaçu FISCAL DE TRIBUTOS MUNICIPAIS II BIGUAÇU,721_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=721_1&tV=0,Ranking dos Concursos,2026-04-20T15:13:42.816Z,298,0,0
ISS Blumenau Auditor Fiscal Tributário,88_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=88_1&tV=0,Ranking dos Concursos,2026-04-20T15:14:03.187Z,548,12,1
ISS Campina Grande Fiscal de Tributos Municipais,31_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=31_1&tV=0,Ranking dos Concursos,2026-04-20T15:14:33.253Z,802,0,7
ISS Campinas Agente Fiscal Tributário,47_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=47_2&tV=0,Ranking dos Concursos,2026-04-20T15:14:40.096Z,124,1,2
ISS Campinas Auditor Fiscal Tribut,47_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=47_1&tV=0,Ranking dos Concursos,2026-04-20T15:14:50.039Z,216,1,2
ISS Campo Grande Auditor Fiscal da Receita Municipal,42_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=42_1&tV=0,Ranking dos Concursos,2026-04-20T15:14:53.717Z,54,0,10
ISS Campos dos Goytacazes Auditor Fiscal de Tributos Municipais,235_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=235_1&tV=0,Ranking dos Concursos,2026-04-20T15:15:24.644Z,778,2,31
ISS Contagem Agente Fazendário,162_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=162_1&tV=0,Ranking dos Concursos,2026-04-20T15:15:26.588Z,15,9,11
ISS Contagem Ana Fazendário,162_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=162_2&tV=0,Ranking dos Concursos,2026-04-20T15:15:29.144Z,23,0,3
ISS Contagem Auditor Fiscal / Esp Fiscalização,82_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=82_1&tV=0,Ranking dos Concursos,2026-04-20T15:15:35.803Z,122,2,7
ISS Corumba / AUDITOR FISCAL DA RECEITA MUNICIPAL,270_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=270_1&tV=0,Ranking dos Concursos,2026-04-20T15:15:41.351Z,93,4,3
ISS Cotia Auditor Fiscal,424_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=424_1&tV=0,Ranking dos Concursos,2026-04-20T15:15:45.538Z,58,0,2
ISS Criciúma Auditor Fiscal da Receita Municipal,245_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=245_1&tV=0,Ranking dos Concursos,2026-04-20T15:15:54.985Z,188,6,0
ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL DIREITO/PROCESSO TRIBUTÁRIO,656_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=656_1&tV=0,Ranking dos Concursos,2026-04-20T15:16:00.024Z,78,0,0
ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL GESTÃO TRIBUTÁRIA,656_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=656_2&tV=0,Ranking dos Concursos,2026-04-20T15:16:30.415Z,675,6,0
ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL TECNOLOGIA DA INFORMAÇÃO,656_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=656_3&tV=0,Ranking dos Concursos,2026-04-20T15:16:35.240Z,79,4,0
ISS Curitiba Auditor Fiscal de Tributos Municipais,43_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=43_1&tV=0,Ranking dos Concursos,2026-04-20T15:16:40.958Z,158,67,9
ISS Diadema Agente Fiscal III / Fiscal de Tributos,281_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=281_1&tV=0,Ranking dos Concursos,2026-04-20T15:16:47.594Z,207,102,1
ISS Divinopolis FISCAL DE RENDAS,596_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=596_1&tV=0,Ranking dos Concursos,2026-04-20T15:16:51.480Z,42,0,0
ISS Dourados Auditor Fiscal de Tributos Municipais,181_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=181_1&tV=0,Ranking dos Concursos,2026-04-20T15:16:57.663Z,100,0,18
ISS Florianopolis AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS / AUDITORIA E FISCALIZAÇÃO,609_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=609_1&tV=0,Ranking dos Concursos,2026-04-20T15:17:02.701Z,80,6,0
ISS Florianopolis AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS / TECNOLOGIA DA INFORMAÇÃO,609_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=609_2&tV=0,Ranking dos Concursos,2026-04-20T15:17:05.013Z,14,3,0
ISS Fortaleza Ana / Contabilidade,207_4,https://www.rankingdosconcursos.com.br/?tC=2&sCa=207_4&tV=0,Ranking dos Concursos,2026-04-20T15:17:08.706Z,44,2,4
ISS Fortaleza Ana Administração,207_5,https://www.rankingdosconcursos.com.br/?tC=2&sCa=207_5&tV=0,Ranking dos Concursos,2026-04-20T15:17:12.313Z,37,0,3
ISS Fortaleza Ana Direito,207_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=207_3&tV=0,Ranking dos Concursos,2026-04-20T15:17:16.389Z,52,0,5
