value,full_text,display_text,selected
3_1,ISS Aracaju Auditor de Tributos Municipais: Geral,ISS Aracaj... Auditor de Tributos Municipais: Geral,true
3_2,ISS Aracaju Auditor de Tributos Municipais: Tecnologia da Informa,ISS Aracaj... Auditor de Tributos Municipais: Tecnologia da Informa,false
636_1,ISS Araras FISCAL DE TRIBUTAÇÃO,ISS Araras FISCAL DE TRIBUTAÇÃO,false
394_1,ISS Belo Horizonte Agente Fazendário,ISS Belo H... Agente Fazendário,false
80_1,ISS Belo Horizonte Auditor Fiscal de Tributos Municipais,ISS Belo H... Auditor Fiscal de Tributos Municipais,false
53_1,ISS Betim Auditor Fiscal de Tributos Municipais,ISS Betim Auditor Fiscal de Tributos Municipais,false
721_1,ISS Biguaçu FISCAL DE TRIBUTOS MUNICIPAIS II BIGUAÇU,ISS Biguaç... FISCAL DE TRIBUTOS MUNICIPAIS II BIGUAÇU,false
88_1,ISS Blumenau Auditor Fiscal Tributário,ISS Blumen... Auditor Fiscal Tributário,false
31_1,ISS Campina Grande Fiscal de Tributos Municipais,ISS Campin... Fiscal de Tributos Municipais,false
47_2,ISS Campinas Agente Fiscal Tributário,ISS Campin... Agente Fiscal Tributário,false
47_1,ISS Campinas Auditor Fiscal Tribut,ISS Campin... Auditor Fiscal Tribut,false
42_1,ISS Campo Grande Auditor Fiscal da Receita Municipal,ISS Campo ... Auditor Fiscal da Receita Municipal,false
235_1,ISS Campos dos Goytacazes Auditor Fiscal de Tributos Municipais,ISS Campos... Auditor Fiscal de Tributos Municipais,false
162_1,ISS Contagem Agente Fazendário,ISS Contag... Agente Fazendário,false
162_2,ISS Contagem Ana Fazendário,ISS Contag... Ana Fazendário,false
82_1,ISS Contagem Auditor Fiscal / Esp Fiscalização,ISS Contag... Auditor Fiscal / Esp Fiscalização,false
270_1,ISS Corumba / AUDITOR FISCAL DA RECEITA MUNICIPAL,ISS Corumb... / AUDITOR FISCAL DA RECEITA MUNICIPAL,false
424_1,ISS Cotia Auditor Fiscal,ISS Cotia Auditor Fiscal,false
245_1,ISS Criciúma Auditor Fiscal da Receita Municipal,ISS Criciú... Auditor Fiscal da Receita Municipal,false
656_1,ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL DIREITO/PROCESSO TRIBUTÁRIO,ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL DIREITO/PROCESSO TRIBUTÁRIO,false
656_2,ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL GESTÃO TRIBUTÁRIA,ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL GESTÃO TRIBUTÁRIA,false
656_3,ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL TECNOLOGIA DA INFORMAÇÃO,ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL TECNOLOGIA DA INFORMAÇÃO,false
43_1,ISS Curitiba Auditor Fiscal de Tributos Municipais,ISS Curiti... Auditor Fiscal de Tributos Municipais,false
281_1,ISS Diadema Agente Fiscal III / Fiscal de Tributos,ISS Diadem... Agente Fiscal III / Fiscal de Tributos,false
596_1,ISS Divinopolis FISCAL DE RENDAS,ISS Divino... FISCAL DE RENDAS,false
181_1,ISS Dourados Auditor Fiscal de Tributos Municipais,ISS Dourad... Auditor Fiscal de Tributos Municipais,false
609_1,ISS Florianopolis AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS / AUDITORIA E FISCALIZAÇÃO,ISS Floria... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS / AUDITORIA E FISCALIZAÇÃO,false
609_2,ISS Florianopolis AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS / TECNOLOGIA DA INFORMAÇÃO,ISS Floria... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS / TECNOLOGIA DA INFORMAÇÃO,false
207_4,ISS Fortaleza Ana / Contabilidade,ISS Fortal... Ana / Contabilidade,false
207_5,ISS Fortaleza Ana Administração,ISS Fortal... Ana Administração,false
207_3,ISS Fortaleza Ana Direito,ISS Fortal... Ana Direito,false
207_6,ISS Fortaleza Ana Fazendário / CiênciasEconômicas,ISS Fortal... Ana Fazendário / CiênciasEconômicas,false
