value,full_text,display_text,selected
3_1,ISS Aracaju Auditor de Tributos Municipais: Geral,ISS Aracaj... Auditor de Tributos Municipais: Geral,False
3_2,ISS Aracaju Auditor de Tributos Municipais: Tecnologia da Informa,ISS Aracaj... Auditor de Tributos Municipais: Tecnologia da Informa,False
636_1,ISS Araras FISCAL DE TRIBUTAÇÃO,ISS Araras FISCAL DE TRIBUTAÇÃO,False
394_1,ISS Belo Horizonte Agente Fazendário,ISS Belo H... Agente Fazendário,False
80_1,ISS Belo Horizonte Auditor Fiscal de Tributos Municipais,ISS Belo H... Auditor Fiscal de Tributos Municipais,False
53_1,ISS Betim Auditor Fiscal de Tributos Municipais,ISS Betim Auditor Fiscal de Tributos Municipais,False
721_1,ISS Biguaçu FISCAL DE TRIBUTOS MUNICIPAIS II BIGUAÇU,ISS Biguaç... FISCAL DE TRIBUTOS MUNICIPAIS II BIGUAÇU,False
88_1,ISS Blumenau Auditor Fiscal Tributário,ISS Blumen... Auditor Fiscal Tributário,False
31_1,ISS Campina Grande Fiscal de Tributos Municipais,ISS Campin... Fiscal de Tributos Municipais,False
47_2,ISS Campinas Agente Fiscal Tributário,ISS Campin... Agente Fiscal Tributário,False
47_1,ISS Campinas Auditor Fiscal Tribut,ISS Campin... Auditor Fiscal Tribut,False
42_1,ISS Campo Grande Auditor Fiscal da Receita Municipal,ISS Campo ... Auditor Fiscal da Receita Municipal,False
235_1,ISS Campos dos Goytacazes Auditor Fiscal de Tributos Municipais,ISS Campos... Auditor Fiscal de Tributos Municipais,False
162_1,ISS Contagem Agente Fazendário,ISS Contag... Agente Fazendário,False
162_2,ISS Contagem Ana Fazendário,ISS Contag... Ana Fazendário,False
82_1,ISS Contagem Auditor Fiscal / Esp Fiscalização,ISS Contag... Auditor Fiscal / Esp Fiscalização,False
270_1,ISS Corumba / AUDITOR FISCAL DA RECEITA MUNICIPAL,ISS Corumb... / AUDITOR FISCAL DA RECEITA MUNICIPAL,False
424_1,ISS Cotia Auditor Fiscal,ISS Cotia Auditor Fiscal,False
245_1,ISS Criciúma Auditor Fiscal da Receita Municipal,ISS Criciú... Auditor Fiscal da Receita Municipal,False
656_1,ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL DIREITO/PROCESSO TRIBUTÁRIO,ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL DIREITO/PROCESSO TRIBUTÁRIO,False
656_2,ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL GESTÃO TRIBUTÁRIA,ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL GESTÃO TRIBUTÁRIA,False
656_3,ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL TECNOLOGIA DA INFORMAÇÃO,ISS Cuiaba AUDITOR FISCAL TRIBUTÁRIO DA RECEITA MUNICIPAL TECNOLOGIA DA INFORMAÇÃO,False
43_1,ISS Curitiba Auditor Fiscal de Tributos Municipais,ISS Curiti... Auditor Fiscal de Tributos Municipais,False
281_1,ISS Diadema Agente Fiscal III / Fiscal de Tributos,ISS Diadem... Agente Fiscal III / Fiscal de Tributos,False
596_1,ISS Divinopolis FISCAL DE RENDAS,ISS Divino... FISCAL DE RENDAS,False
181_1,ISS Dourados Auditor Fiscal de Tributos Municipais,ISS Dourad... Auditor Fiscal de Tributos Municipais,False
609_1,ISS Florianopolis AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS / AUDITORIA E FISCALIZAÇÃO,ISS Floria... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS / AUDITORIA E FISCALIZAÇÃO,False
609_2,ISS Florianopolis AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS / TECNOLOGIA DA INFORMAÇÃO,ISS Floria... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS / TECNOLOGIA DA INFORMAÇÃO,False
207_4,ISS Fortaleza Ana / Contabilidade,ISS Fortal... Ana / Contabilidade,False
207_5,ISS Fortaleza Ana Administração,ISS Fortal... Ana Administração,False
207_3,ISS Fortaleza Ana Direito,ISS Fortal... Ana Direito,False
207_6,ISS Fortaleza Ana Fazendário / CiênciasEconômicas,ISS Fortal... Ana Fazendário / CiênciasEconômicas,False
207_2,ISS Fortaleza Ana TI,ISS Fortal... Ana TI,False
207_1,ISS Fortaleza Auditor Fiscal,ISS Fortal... Auditor Fiscal,False
599_1,ISS Francisco Morato AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS,ISS Franci... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS,False
274_1,ISS Garanhuns Auditor Fiscal,ISS Garanh... Auditor Fiscal,False
58_1,ISS Governador Valadares Auditor Fiscal de Tributos,ISS Govern... Auditor Fiscal de Tributos,False
30_1,ISS Gramado Auditor Tributário,ISS Gramad... Auditor Tributário,False
407_1,ISS GUARUJA Fiscal Municipal,ISS GUARUJ... Fiscal Municipal,False
35_1,ISS Guarulhos Inspetor Fiscal de Rendas VI,ISS Guarul... Inspetor Fiscal de Rendas VI,False
686_1,ISS Imbé RS Auditor Fiscal da Receita Municipal,ISS Imbé R... Auditor Fiscal da Receita Municipal,False
653_1,ISS INDAIATUBA SP 25 AUDITOR FISCAL TRIBUTÁRIO,ISS INDAIA... AUDITOR FISCAL TRIBUTÁRIO,False
45_3,ISS Itajai Assistente Tribut,ISS Itajai Assistente Tribut,False
45_2,ISS Itajai Auditor Fiscal Municipal: Controle Urbano,ISS Itajai Auditor Fiscal Municipal: Controle Urbano,False
45_1,ISS Itajai Auditor Fiscal Municipal: Tributário,ISS Itajai Auditor Fiscal Municipal: Tributário,False
641_1,ISS Itatiba Auditor Fiscal de Rendas Municipais,ISS Itatib... Auditor Fiscal de Rendas Municipais,False
430_1,ISS Jaboatao dos Guararapes Auditor Fiscal Tributário,ISS Jaboat... Auditor Fiscal Tributário,False
748_2,ISS JARINU Controlador Interno,ISS JARINU Controlador Interno,False
748_1,ISS JARINU FISCAL TRIBUTÁRIO,ISS JARINU FISCAL TRIBUTÁRIO,False
275_1,ISS Joinville Auditor Fiscal,ISS Joinvi... Auditor Fiscal,False
735_1,ISS Lagoa Vermelha Auditor Fiscal,ISS Lagoa ... Auditor Fiscal,False
246_1,ISS Londrina Auditor Fiscal de Tributos,ISS Londri... Auditor Fiscal de Tributos,False
422_1,ISS Macaé Auditor Fiscal Tributário,ISS Macaé Auditor Fiscal Tributário,False
13_2,ISS Manaus Auditor Fiscal de Tributos Municipais,ISS Manaus Auditor Fiscal de Tributos Municipais,False
64_1,ISS Marica Fiscal de Tributos,ISS Marica Fiscal de Tributos,False
63_1,ISS Maua Fiscal de Tributos I,ISS Maua Fiscal de Tributos I,False
588_6,ISS Mossoro ANA DE PROCURADORIA – ESP.: CONTABILIDADE,ISS Mossor... ANA DE PROCURADORIA – ESP.: CONTABILIDADE,False
588_7,ISS Mossoro ANA DE PROCURADORIA – ESP.: DIREITO,ISS Mossor... ANA DE PROCURADORIA – ESP.: DIREITO,False
588_1,ISS Mossoro AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS,ISS Mossor... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS,False
588_2,ISS Mossoro AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: CIÊNCIAS CONTÁBEIS,ISS Mossor... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: CIÊNCIAS CONTÁBEIS,False
588_3,ISS Mossoro AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: DIREITO,ISS Mossor... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: DIREITO,False
588_4,ISS Mossoro AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: ENGENHARIA,ISS Mossor... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: ENGENHARIA,False
588_5,ISS Mossoro AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: TECNOLOGIA DA,ISS Mossor... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: TECNOLOGIA DA,False
588_8,ISS Mossoro PROCURADOR DO MUNICÍPIO,ISS Mossor... PROCURADOR DO MUNICÍPIO,False
55_1,ISS Muriau Auditor Fiscal,ISS Muriau Auditor Fiscal,False
418_2,ISS Nova Iguaçu Ana Tributário do Tesouro Municipal,ISS Nova I... Ana Tributário do Tesouro Municipal,False
418_1,ISS Nova Iguaçu Auditor Fiscal do Tesouro Municipal,ISS Nova I... Auditor Fiscal do Tesouro Municipal,False
418_3,ISS Nova Iguaçu Contador,ISS Nova I... Contador,False
36_1,ISS Osasco Fiscal Tributário,ISS Osasco Fiscal Tributário,False
59_1,ISS Ouro Branco Auditor Fiscal Tributário,ISS Ouro B... Auditor Fiscal Tributário,False
389_1,ISS Ouro Preto Auditor Fiscal da Receita Municipal,ISS Ouro P... Auditor Fiscal da Receita Municipal,False
429_1,ISS Paraty Fiscal de Tributos,ISS Paraty Fiscal de Tributos,False
83_1,ISS Paulinia Auditor Fiscal,ISS Paulin... Auditor Fiscal,False
722_1,ISS Pereira Barreto Auditor Fiscal de Tributos,ISS Pereir... Auditor Fiscal de Tributos,False
32_1,ISS Petrolina Auditor Fiscal,ISS Petrol... Auditor Fiscal,False
131_1,ISS Pinhais Ana Fiscal de Tributos Municipais,ISS Pinhai... Ana Fiscal de Tributos Municipais,False
156_1,ISS Ponta Grossa Auditor Fiscal,ISS Ponta ... Auditor Fiscal,False
34_1,ISS Porto Alegre Auditor Fiscal da Receita Municipal,ISS Porto ... Auditor Fiscal da Receita Municipal,False
492_1,ISS Porto Alegre 25 Auditor Fiscal da Receita Municipal,ISS Porto ... Auditor Fiscal da Receita Municipal,False
386_2,ISS Ribeirao das Neves AUDITOR FISCAL,ISS Ribeir... AUDITOR FISCAL,False
302_1,ISS Ribeirao Preto Auditor (Fiscal Fazendário),ISS Ribeir... Auditor (Fiscal Fazendário),False
212_1,ISS Rio de Janeiro Fiscal de Rendas,ISS Rio de... Fiscal de Rendas,False
38_1,ISS S.J. Rio Preto Auditor Fiscal Tributário,ISS S.J. R... Auditor Fiscal Tributário,False
39_1,ISS Salvador Ana: Administra,ISS Salvad... Ana: Administra,False
39_2,ISS Salvador Auditor: Administra,ISS Salvad... Auditor: Administra,False
39_3,ISS Salvador Auditor: Tecnologia da Informa,ISS Salvad... Auditor: Tecnologia da Informa,False
251_1,ISS Santa Barbara Fiscal de Rendas,ISS Santa ... Fiscal de Rendas,False
222_1,ISS SANTOS AUDITOR FISCAL DE TRIBUTOS,ISS SANTOS AUDITOR FISCAL DE TRIBUTOS,False
46_1,ISS Santos Auditor Fiscal de Tributos Municipais,ISS Santos Auditor Fiscal de Tributos Municipais,False
303_1,ISS Sao Bernardo do Campo Auditor Fiscal de Rendas Municipais,ISS Sao Be... Auditor Fiscal de Rendas Municipais,False
250_1,ISS Sao Caetano do Sul Auditor Fiscal Tributário,ISS Sao Ca... Auditor Fiscal Tributário,False
241_1,ISS Sao José dos Campos Auditor Tributário Municipal,ISS Sao Jo... Auditor Tributário Municipal,False
44_1,ISS Sao Luis Auditor Fiscal de Tributos,ISS Sao Lu... Auditor Fiscal de Tributos,False
44_2,ISS Sao Luis Auditor Fiscal de Tributos: TI,ISS Sao Lu... Auditor Fiscal de Tributos: TI,False
611_1,ISS SEPLAG Niteroi ANA DE POLÍTICAS PÚBLICAS E GESTÃO GOVERNAMENTAL SEPLAG GESTÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,ISS SEPLAG... ANA DE POLÍTICAS PÚBLICAS E GESTÃO GOVERNAMENTAL SEPLAG GESTÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,False
